No.,Time,Source,Destination,Protocol,Length,Info
1,0,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,173,Application Data
2,0.007161,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,148,Application Data
3,4.632568,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,144,Application Data
4,8.702485,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,306,Application Data
5,8.999708,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,185,Application Data
6,9.319504,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,168,Application Data
7,9.321394,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
8,9.69731,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,169,Application Data
9,9.699899,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
10,9.79963,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,729,Application Data
11,9.853542,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
12,10.762051,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,171,Application Data
13,10.765013,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,170,Application Data
14,10.839508,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,171,Application Data
15,10.841398,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,170,Application Data
16,12.44961,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,144,Application Data
17,13.489746,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,290,Application Data
18,13.761949,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,185,Application Data
19,13.919352,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,136,Application Data
20,14.119394,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,168,Application Data
21,14.121267,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
22,14.439535,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,169,Application Data
23,14.44225,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
24,20.001258,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,144,Application Data
25,20.599723,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,316,Application Data
26,20.62168,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,169,Application Data
27,26.164071,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,338,Application Data
28,26.478877,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,185,Application Data
29,26.519353,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,151,Application Data
30,26.840821,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,168,Application Data
31,26.844532,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
32,26.919572,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,169,Application Data
33,26.922262,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
34,27.039359,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,171,Application Data
35,27.044989,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,169,Application Data
36,27.639414,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,154,Application Data
37,29.088037,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,144,Application Data
38,29.239273,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,151,Application Data
39,30.439609,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,151,Application Data
40,31.279552,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,154,Application Data
41,32.919833,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,154,Application Data
42,33.433158,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,306,Application Data
43,33.689654,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,185,Application Data
44,33.999095,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,168,Application Data
45,34.000943,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
46,34.039227,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,169,Application Data
47,34.041583,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,167,Application Data
48,34.081524,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,562,Application Data
49,34.143968,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,173,Application Data
50,34.199434,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,171,Application Data
51,34.206512,2a02:6680:2105:aa78:5d79:df94:5095:14ea,2a03:2880:f242:1c2:face:b00c:0:167,TLSv1.2,169,Application Data
52,34.279499,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,154,Application Data
53,35.039537,2a03:2880:f242:1c2:face:b00c:0:167,2a02:6680:2105:aa78:5d79:df94:5095:14ea,TLSv1.2,171,Application Data
